Task,Signal Intensität,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,response,date,expName,session,participant,
,,,,,,,,2018_Dec_11_1403,Yes-No Task,we,leon,
Yes-No Task,11.0,0,-1,-1,0,11.0,Hit,2018_Dec_11_1403,Yes-No Task,we,leon,
Yes-No Task,11.0,0,-1,-1,0,11.0,False Alarm,2018_Dec_11_1403,Yes-No Task,we,leon,
Yes-No Task,11.0,0,-1,-1,0,11.0,Hit,2018_Dec_11_1403,Yes-No Task,we,leon,
Yes-No Task,10.5,0,0,0,0,10.5,Hit,2018_Dec_11_1403,Yes-No Task,we,leon,
Yes-No Task,10.5,1,0,1,0,10.5,Hit,2018_Dec_11_1403,Yes-No Task,we,leon,
Yes-No Task,10.5,2,0,2,0,10.5,Hit,2018_Dec_11_1403,Yes-No Task,we,leon,
Yes-No Task,10.0,0,0,0,0,10.0,False Alarm,2018_Dec_11_1403,Yes-No Task,we,leon,
Yes-No Task,10.0,1,0,1,0,10.0,Hit,2018_Dec_11_1403,Yes-No Task,we,leon,
Yes-No Task,10.0,2,0,2,0,10.0,Hit,2018_Dec_11_1403,Yes-No Task,we,leon,
